neighborhood,title,price,bedrooms,pid,longitude,date,link,latitude,sqft,sourcepage
 (SOMA / south beach),"1bed + Den, 1bath at Mission Bay",$2895,   / 1br - 950ft² -    ,4046628359,-122.399663,Sep  4 2013,/sfc/apa/4046628359.html,37.774623,   / 1br - 950ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (SOMA / south beach),Love where you live!,$3354,   / 1br - 710ft² -    ,4046761563,,Sep  4 2013,/sfc/apa/4046761563.html,,   / 1br - 710ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (inner sunset / UCSF),We Welcome Your Furry Friends! Call Today!,$2865,   / 1br - 644ft² -    ,4046661504,-122.470727,Sep  4 2013,/sfc/apa/4046661504.html,37.765739,   / 1br - 644ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (financial district),Golden Gateway Commons | 2BR + office townhouse & 4 decks!!,$5500,   / 2br - 1450ft² -    ,4036170429,,Sep  4 2013,/sfc/apa/4036170429.html,,   / 2br - 1450ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (lower nob hill),Experience Luxury Living in San Fransisco!,$3892,   / 2br -    ,4046732678,,Sep  4 2013,/sfc/apa/4046732678.html,,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/
 (sunset / parkside),"$1250 - 1 bdrm, 1 bath",$1250,   / 1br -    ,4046731229,,Sep  4 2013,/sfc/apa/4046731229.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/
 (SOMA / south beach),Made For The Die-hard Giants Fan,$3249,   / 549ft² -    ,4046730047,-122.389798,Sep  4 2013,/sfc/apa/4046730047.html,37.774192,   / 549ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (russian hill),Open Concept 1bed 1bath,$2690,   / 1br - 781ft² -    ,4046570245,-122.420787,Sep  4 2013,/sfc/apa/4046570245.html,37.796034,   / 1br - 781ft² -    ,http://sfbay.craigslist.org/sfc/apa/
,"Contemporary, charming 2bds/1ba with private deck, garden",$2850,   / 2br -    ,4006732632,-122.457100,Sep  4 2013,/sfc/apa/4006732632.html,37.735400,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/
 (pacific heights),"2bd/2.5ba, 2 car tandem parking @ 1998 Broadway, #1105, call Mike",$6500,   / 2br - 1400ft² -    ,4046018830,-122.429850,Sep  4 2013,/sfc/apa/4046018830.html,37.794973,   / 2br - 1400ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),"Stunning Modern GARDEN Loft! Upgrades, Views & Location! *pics!*",$4100,   / 1br -    ,4045981009,-122.402387,Sep  4 2013,/sfc/apa/4045981009.html,37.781055,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (marina / cow hollow),"$4700. Top Flat, remodeled, newer building",$4700,   / 2br - 1300ft² -    ,4036079016,-122.435772,Sep  4 2013,/sfc/apa/4036079016.html,37.798487,   / 2br - 1300ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),2/Bed  Room /2Bath Room Apartment,$4500,   / 2br - 941ft² -    ,4045848497,-122.401796,Sep  4 2013,/sfc/apa/4045848497.html,37.781521,   / 2br - 941ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (sunset / parkside),Central Sunset Top unit Flat 1Br 1Ba,$2200,   / 1br -    ,4045983183,-122.486122,Sep  4 2013,/sfc/apa/4045983183.html,37.759468,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (downtown / civic / van ness),Nice Jr 1 Bedroom: bright/spacious/hardwoods/parking/great location!!!,$2095,   / 1br - 500ft² -    ,3999189643,-122.412680,Sep  4 2013,/sfc/apa/3999189643.html,37.786792,   / 1br - 500ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (downtown / civic / van ness),Nice STUDIO- bright/spacious/hardwoods/great location/CHK IT OUT,$1600,   / 400ft² -    ,4026681979,-122.414636,Sep  4 2013,/sfc/apa/4026681979.html,37.785678,   / 400ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),Furnished B&T loft w/ office+patio *10-12mo lease term options*,$5500,   / 1br -    ,4045960170,,Sep  4 2013,/sfc/apa/4045960170.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),Channel Your Inner Explorer ,$3274,   / 1br - 758ft² -    ,4046428851,-122.389905,Sep  4 2013,/sfc/apa/4046428851.html,37.774243,   / 1br - 758ft² -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
