SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-7-2017,Single Family Residential,521 Cayuga Ave,San Francisco,CA,94112,1200000,2,1.25,Mission Terrace,1500,2265,1940,26,800,,Sold,,,http://www.redfin.com/CA/San-Francisco/521-Cayuga-Ave-94112/home/812038,San Francisco MLS,453167,N,Y,37.7288599,-122.4353078
PAST SALE,February-10-2017,Condo/Co-op,95 Red Rock Way Unit 105M,San Francisco,CA,94131,590000,0,1.0,Diamond Heights,650,,1972,23,908,443,Sold,,,http://www.redfin.com/CA/San-Francisco/95-Red-Rock-Way-94131/unit-105M/home/1441007,San Francisco MLS,452726,N,Y,37.746324,-122.441517
PAST SALE,February-10-2017,Single Family Residential,3157 Baker St,San Francisco,CA,94123,3260000,5,3.5,Marina,3646,2050,2003,23,894,,Sold,,,http://www.redfin.com/CA/San-Francisco/3157-Baker-St-94123/home/848085,San Francisco MLS,451943,N,Y,37.8002181,-122.4464551
PAST SALE,February-17-2017,Single Family Residential,2594 San Jose Ave,San Francisco,CA,94112,920000,3,2.0,San Francisco,1287,2495,1960,16,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2594-San-Jose-Ave-94112/home/1822379,MetroList,16067859,N,Y,37.7164354,-122.4504437
PAST SALE,February-27-2017,Single Family Residential,130 Brazil Ave,SAN FRANCISCO,CA,94112,790000,2,1.0,SAN FRANCISCO,1125,2495,1923,6,702,,Sold,,,http://www.redfin.com/CA/San-Francisco/130-Brazil-Ave-94112/home/1655522,MLSListings,ML81635907,N,Y,37.72392,-122.433735
PAST SALE,February-3-2017,Condo/Co-op,1553 Treat Ave,San Francisco,CA,94110,1275000,3,2.0,Bernal Heights,1270,,1906,30,1004,428,Sold,,,http://www.redfin.com/CA/San-Francisco/1553-Treat-Ave-94110/home/110052495,San Francisco MLS,453326,N,Y,37.7459386,-122.4123478
PAST SALE,February-16-2017,Condo/Co-op,3030-3032 Franklin St #3032,San Francisco,CA,94123,2400000,3,2.5,Marina,1894,,,17,1267,300,Sold,,,http://www.redfin.com/CA/San-Francisco/3030-Franklin-St-94123/unit-3032/home/113114271,San Francisco MLS,454302,N,Y,37.802545,-122.426112
PAST SALE,February-3-2017,Multi-Family (2-4 Unit),709-711 Lyon St,San Francisco,CA,94115,1649545,,,North Panhandle,,,,30,,,Sold,,,http://www.redfin.com/CA/San-Francisco/711-Lyon-St-94115/home/1269588,San Francisco MLS,452198,N,Y,37.777573,-122.4436122
PAST SALE,February-21-2017,Condo/Co-op,765 Market St Unit 23AB,San Francisco,CA,94103,5724000,4,4.5,South of Market,3594,,2001,12,1593,4413,Sold,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-23AB/home/103713814,San Francisco MLS,441850,N,Y,37.786212,-122.404303
PAST SALE,March-1-2017,Condo/Co-op,3053 Franklin St,San Francisco,CA,94123,1375000,2,1.5,Marina,1625,,1924,4,846,180,Sold,,,http://www.redfin.com/CA/San-Francisco/3053-Franklin-St-94123/home/1198235,San Francisco MLS,454237,N,Y,37.802705,-122.426801
PAST SALE,March-2-2017,Condo/Co-op,179 Douglass St #1,San Francisco,CA,94114,895000,1,1.0,Eureka Valley/Dolore,808,,1932,3,1108,365,Sold,,,http://www.redfin.com/CA/San-Francisco/179-Douglass-St-94114/unit-1/home/12352991,San Francisco MLS,454000,N,Y,37.761105,-122.439061
PAST SALE,February-22-2017,Condo/Co-op,2501 Harrison St #14,San Francisco,CA,94110,1108000,1,1.5,Inner Mission,1199,,2001,11,924,365,Sold,,,http://www.redfin.com/CA/San-Francisco/2501-Harrison-St-94110/unit-14/home/12397388,San Francisco MLS,453918,N,Y,37.7572201,-122.4119972
PAST SALE,February-27-2017,Single Family Residential,1558 Grove St,San Francisco,CA,94117,3500000,3,3.0,North Panhandle,,3436,1900,6,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1558-Grove-St-94117/home/593985,San Francisco MLS,454530,N,Y,37.7756479,-122.442424
PAST SALE,February-23-2017,Condo/Co-op,3235 Gough St #204,San Francisco,CA,94123,754960,2,1.0,Marina,886,,1927,10,852,440,Sold,,,http://www.redfin.com/CA/San-Francisco/3235-Gough-St-94123/unit-204/home/28890235,San Francisco MLS,450373,N,Y,37.803216,-122.428658
PAST SALE,March-1-2017,Single Family Residential,579 34th Ave,San Francisco,CA,94121,1320000,2,1.0,Outer Richmond,1295,2996,1928,4,1019,,Sold,,,http://www.redfin.com/CA/San-Francisco/579-34th-Ave-94121/home/609974,San Francisco MLS,453794,N,Y,37.778132,-122.494598
PAST SALE,March-1-2017,Condo/Co-op,900 Bush St #806,San Francisco,CA,94109,715000,1,1.0,Downtown,730,,,4,979,827,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-806/home/1871297,San Francisco MLS,453733,N,Y,37.7899818,-122.4125107
