,saletype,solddate,proptype,address,city,state,zip,price,beds,baths,location,sqft,lotsize,yrbuilt,daysonmkt,pricesqft,hoamonth,status,nextopenstart,nextopenend,url,source,mls,favorite,interested,latitude,longitude,county,fips_code
0,PAST SALE,February-7-2017,Single Family Residential,521 Cayuga Ave,San Francisco,CA,94112.0,1200000.0,2.0,1.25,Mission Terrace,1500.0,2265.0,1940.0,26.0,800.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/521-Cayuga-Ave-94112/home/812038,San Francisco MLS,453167,N,Y,37.728859899999996,-122.4353078,San Francisco,060750255003002
1,PAST SALE,February-10-2017,Condo/Co-op,95 Red Rock Way Unit 105M,San Francisco,CA,94131.0,590000.0,0.0,1.0,Diamond Heights,650.0,,1972.0,23.0,908.0,443.0,Sold,,,http://www.redfin.com/CA/San-Francisco/95-Red-Rock-Way-94131/unit-105M/home/1441007,San Francisco MLS,452726,N,Y,37.746324,-122.44151699999999,San Francisco,060750216002010
2,PAST SALE,February-10-2017,Single Family Residential,3157 Baker St,San Francisco,CA,94123.0,3260000.0,5.0,3.5,Marina,3646.0,2050.0,2003.0,23.0,894.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/3157-Baker-St-94123/home/848085,San Francisco MLS,451943,N,Y,37.8002181,-122.4464551,San Francisco,060750127003003
3,PAST SALE,February-17-2017,Single Family Residential,2594 San Jose Ave,San Francisco,CA,94112.0,920000.0,3.0,2.0,San Francisco,1287.0,2495.0,1960.0,16.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2594-San-Jose-Ave-94112/home/1822379,MetroList,16067859,N,Y,37.7164354,-122.4504437,San Francisco,060750312022019
4,PAST SALE,February-27-2017,Single Family Residential,130 Brazil Ave,SAN FRANCISCO,CA,94112.0,790000.0,2.0,1.0,SAN FRANCISCO,1125.0,2495.0,1923.0,6.0,702.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/130-Brazil-Ave-94112/home/1655522,MLSListings,ML81635907,N,Y,37.72392,-122.43373500000001,San Francisco,060750260012001
5,PAST SALE,February-3-2017,Condo/Co-op,1553 Treat Ave,San Francisco,CA,94110.0,1275000.0,3.0,2.0,Bernal Heights,1270.0,,1906.0,30.0,1004.0,428.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1553-Treat-Ave-94110/home/110052495,San Francisco MLS,453326,N,Y,37.7459386,-122.41234779999999,San Francisco,060750252002001
6,PAST SALE,February-16-2017,Condo/Co-op,3030-3032 Franklin St #3032,San Francisco,CA,94123.0,2400000.0,3.0,2.5,Marina,1894.0,,,17.0,1267.0,300.0,Sold,,,http://www.redfin.com/CA/San-Francisco/3030-Franklin-St-94123/unit-3032/home/113114271,San Francisco MLS,454302,N,Y,37.802545,-122.42611200000002,San Francisco,060750129012005
7,PAST SALE,February-3-2017,Multi-Family (2-4 Unit),709-711 Lyon St,San Francisco,CA,94115.0,1649545.0,,,North Panhandle,,,,30.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/711-Lyon-St-94115/home/1269588,San Francisco MLS,452198,N,Y,37.777573,-122.4436122,San Francisco,060750157002002
8,PAST SALE,February-21-2017,Condo/Co-op,765 Market St Unit 23AB,San Francisco,CA,94103.0,5724000.0,4.0,4.5,South of Market,3594.0,,2001.0,12.0,1593.0,4413.0,Sold,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-23AB/home/103713814,San Francisco MLS,441850,N,Y,37.786212,-122.404303,San Francisco,060750615001032
9,PAST SALE,March-1-2017,Condo/Co-op,3053 Franklin St,San Francisco,CA,94123.0,1375000.0,2.0,1.5,Marina,1625.0,,1924.0,4.0,846.0,180.0,Sold,,,http://www.redfin.com/CA/San-Francisco/3053-Franklin-St-94123/home/1198235,San Francisco MLS,454237,N,Y,37.802704999999996,-122.426801,San Francisco,060750129012004
10,PAST SALE,March-2-2017,Condo/Co-op,179 Douglass St #1,San Francisco,CA,94114.0,895000.0,1.0,1.0,Eureka Valley/Dolore,808.0,,1932.0,3.0,1108.0,365.0,Sold,,,http://www.redfin.com/CA/San-Francisco/179-Douglass-St-94114/unit-1/home/12352991,San Francisco MLS,454000,N,Y,37.761105,-122.43906100000001,San Francisco,060750205001006
11,PAST SALE,February-22-2017,Condo/Co-op,2501 Harrison St #14,San Francisco,CA,94110.0,1108000.0,1.0,1.5,Inner Mission,1199.0,,2001.0,11.0,924.0,365.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2501-Harrison-St-94110/unit-14/home/12397388,San Francisco MLS,453918,N,Y,37.7572201,-122.4119972,San Francisco,060750228032004
12,PAST SALE,February-27-2017,Single Family Residential,1558 Grove St,San Francisco,CA,94117.0,3500000.0,3.0,3.0,North Panhandle,,3436.0,1900.0,6.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1558-Grove-St-94117/home/593985,San Francisco MLS,454530,N,Y,37.7756479,-122.442424,San Francisco,060750165001000
13,PAST SALE,February-23-2017,Condo/Co-op,3235 Gough St #204,San Francisco,CA,94123.0,754960.0,2.0,1.0,Marina,886.0,,1927.0,10.0,852.0,440.0,Sold,,,http://www.redfin.com/CA/San-Francisco/3235-Gough-St-94123/unit-204/home/28890235,San Francisco MLS,450373,N,Y,37.803216,-122.42865800000001,San Francisco,060750129012002
14,PAST SALE,March-1-2017,Single Family Residential,579 34th Ave,San Francisco,CA,94121.0,1320000.0,2.0,1.0,Outer Richmond,1295.0,2996.0,1928.0,4.0,1019.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/579-34th-Ave-94121/home/609974,San Francisco MLS,453794,N,Y,37.778132,-122.494598,San Francisco,060750478023002
15,PAST SALE,March-1-2017,Condo/Co-op,900 Bush St #806,San Francisco,CA,94109.0,715000.0,1.0,1.0,Downtown,730.0,,,4.0,979.0,827.0,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-806/home/1871297,San Francisco MLS,453733,N,Y,37.7899818,-122.41251070000001,San Francisco,060750119012000
16,PAST SALE,February-6-2017,Condo/Co-op,325 Berry St #717,San Francisco,CA,94158.0,960000.0,1.0,1.0,Mission Bay,741.0,,2007.0,27.0,1296.0,537.0,Sold,,,http://www.redfin.com/CA/San-Francisco/325-Berry-St-94158/unit-717/home/17304546,San Francisco MLS,453745,N,Y,37.773412799999996,-122.39574740000002,San Francisco,060750607001036
17,PAST SALE,February-24-2017,Multi-Family (2-4 Unit),954 Ingerson Ave,San Francisco,CA,94124.0,1042500.0,7.0,4.0,Bayview,3076.0,2500.0,1910.0,9.0,339.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/954-Ingerson-Ave-94124/home/1015770,San Francisco MLS,444631,N,Y,37.7187773,-122.3920304,San Francisco,060750234002008
18,PAST SALE,February-17-2017,Condo/Co-op,2545 Post St #1,San Francisco,CA,94115.0,1835000.0,3.0,2.0,Lower Pacific Height,1902.0,,1988.0,16.0,965.0,350.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2545-Post-St-94115/unit-1/home/12402276,San Francisco MLS,453697,N,Y,37.783691600000004,-122.44383229999998,San Francisco,060750154002004
19,PAST SALE,February-21-2017,Condo/Co-op,1310 Fillmore St #804,San Francisco,CA,94115.0,837000.0,1.0,1.0,Western Addition,858.0,,2007.0,12.0,976.0,624.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1310-Fillmore-St-94115/unit-804/home/17306826,San Francisco MLS,453579,N,Y,37.781644799999995,-122.4320375,San Francisco,060750159002009
20,PAST SALE,February-17-2017,Single Family Residential,438 Monterey Blvd,San Francisco,CA,94127.0,1075000.0,2.0,1.0,Sunnyside,1025.0,2500.0,1925.0,16.0,1049.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/438-Monterey-Blvd-94127/home/1102402,San Francisco MLS,453577,N,Y,37.731836,-122.445227,San Francisco,060750311005009
21,PAST SALE,February-10-2017,Multi-Family (2-4 Unit),478-480 10th Ave,San Francisco,CA,94118.0,1810000.0,4.0,4.0,Inner Richmond,3634.0,2996.0,1915.0,23.0,498.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/480-10th-Ave-94118/home/2030959,San Francisco MLS,453006,N,Y,37.7791245,-122.4683334,San Francisco,060750452005001
22,PAST SALE,March-2-2017,Single Family Residential,9 De Soto St,San Francisco,CA,94127.0,2550000.0,5.0,3.5,Ingleside Terrace,4108.0,5533.0,,3.0,621.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/9-De-Soto-St-94127/home/1744299,San Francisco MLS,454297,N,Y,37.721956899999995,-122.46679170000002,San Francisco,060750309003021
23,PAST SALE,March-1-2017,Condo/Co-op,2020 Ellis St #203,San Francisco,CA,94115.0,715000.0,1.0,1.0,Anza Vista,638.0,,2012.0,4.0,1121.0,503.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2020-Ellis-St-94115/unit-203/home/55244661,San Francisco MLS,453746,N,Y,37.781672799999996,-122.4394793,San Francisco,060750158012008
24,PAST SALE,February-21-2017,Condo/Co-op,2189 Bayshore Blvd #201,San Francisco,CA,94134.0,875000.0,3.0,3.0,Little Hollywood,1750.0,,2009.0,12.0,500.0,428.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2189-Bayshore-Blvd-94134/unit-201/home/21995014,San Francisco MLS,453333,N,Y,37.7123064,-122.4012139,San Francisco,060750610002012
25,PAST SALE,February-16-2017,Single Family Residential,1438 29th Ave,San Francisco,CA,94122.0,1130000.0,2.0,1.5,Central Sunset,1850.0,3000.0,1928.0,17.0,611.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1438-29th-Ave-94122/home/1350741,San Francisco MLS,452564,N,Y,37.760482,-122.487328,San Francisco,060750327003000
26,PAST SALE,March-3-2017,Condo/Co-op,3121 20th St #4,San Francisco,CA,94110.0,1700000.0,3.0,2.5,Inner Mission,2191.0,,1997.0,2.0,776.0,450.0,Sold,,,http://www.redfin.com/CA/San-Francisco/3121-20th-St-94110/unit-4/home/12396597,San Francisco MLS,454142,N,Y,37.7588537,-122.41198999999999,San Francisco,060750228012005
27,PAST SALE,February-23-2017,Single Family Residential,2701 Taraval St,San Francisco,CA,94116.0,1186000.0,2.0,2.0,Outer Parkside,1200.0,2063.0,1947.0,10.0,988.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/2701-Taraval-St-94116/home/1685668,San Francisco MLS,453750,N,Y,37.7420422,-122.49516940000001,San Francisco,060750353002008
28,PAST SALE,February-24-2017,Condo/Co-op,77 Grattan St,San Francisco,CA,94117.0,910000.0,1.0,1.0,Parnassus/Ashbury Heights,768.0,,1907.0,9.0,1185.0,250.0,Sold,,,http://www.redfin.com/CA/San-Francisco/77-Grattan-St-94117/home/28679689,San Francisco MLS,453235,N,Y,37.763948299999996,-122.44932299999999,San Francisco,060750171022000
29,PAST SALE,February-24-2017,Single Family Residential,227 Douglass St,San Francisco,CA,94114.0,2700000.0,3.0,3.0,Eureka Valley/Dolore,,3125.0,1900.0,9.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/227-Douglass-St-94114/home/1741516,San Francisco MLS,454060,N,Y,37.759839899999996,-122.43893600000001,San Francisco,060750205002003
30,PAST SALE,February-22-2017,Condo/Co-op,3993 Washington St,San Francisco,CA,94118.0,2650000.0,2.0,2.5,Presidio Heights,1945.0,,1905.0,11.0,1362.0,500.0,Sold,,,http://www.redfin.com/CA/San-Francisco/3993-Washington-St-94118/home/1313593,San Francisco MLS,454387,N,Y,37.788284999999995,-122.459025,San Francisco,060750133005001
31,PAST SALE,March-3-2017,Condo/Co-op,1221 Harrison St #28,San Francisco,CA,94103.0,875000.0,1.0,2.0,South of Market,1185.0,,2004.0,2.0,738.0,542.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1221-Harrison-St-94103/unit-28/home/1275616,San Francisco MLS,455189,N,Y,37.7731279,-122.4087672,San Francisco,060750180002032
32,PAST SALE,March-1-2017,Condo/Co-op,631 Folsom St Unit 8C,San Francisco,CA,94107.0,1120000.0,2.0,2.0,Yerba Buena,1054.0,,1945.0,4.0,1063.0,794.0,Sold,,,http://www.redfin.com/CA/San-Francisco/631-Folsom-St-94107/unit-8C/home/21966651,San Francisco MLS,453814,N,Y,37.784817600000004,-122.3969578,San Francisco,060750615002017
33,PAST SALE,February-24-2017,Single Family Residential,1290 Portola Dr,San Francisco,CA,94127.0,1724000.0,3.0,2.5,West Portal,2352.0,5248.0,1925.0,9.0,733.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1290-Portola-Dr-94127/home/687552,San Francisco MLS,448606,N,Y,37.740226799999995,-122.4632508,San Francisco,060750308001012
34,PAST SALE,February-3-2017,Condo/Co-op,433 MIddle Burnett Ave Unit Middl,San Francisco,CA,94131.0,1079000.0,2.0,2.0,Twin Peaks,,,1975.0,30.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/433-MIddle-Burnett-Ave-94131/unit-Middl/home/112934171,San Francisco MLS,453785,N,Y,37.755478000000004,-122.443878,San Francisco,060750204022013
35,PAST SALE,February-3-2017,Multi-Family (2-4 Unit),433 Burnett Ave,San Francisco,CA,94131.0,2401000.0,5.0,5.0,Twin Peaks,2466.0,3863.0,1975.0,30.0,974.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/433-Burnett-Ave-94131/home/1895107,San Francisco MLS,453761,N,Y,37.755476,-122.443876,San Francisco,060750204022013
36,PAST SALE,March-1-2017,Single Family Residential,76 Florentine St,San Francisco,CA,94112.0,725000.0,3.0,2.0,Crocker Amazon,1111.0,2500.0,,4.0,653.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/76-Florentine-St-94112/home/795383,San Francisco MLS,449526,N,Y,37.7121864,-122.4436635,San Francisco,060750263012018
