POPGROUP,label,GEOIDLONG,GEOID,geodisplay,Population
1,Total population,1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",2937
1,Total population,1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",1974
1,Total population,1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",4865
1,Total population,1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",3703
1,Total population,1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",3517
1,Total population,1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",1571
1,Total population,1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",4206
1,Total population,1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",3594
1,Total population,1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",2302
1,Total population,1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",5678
1,Total population,1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",4156
1,Total population,1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",2416
1,Total population,1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",3528
1,Total population,1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",4314
1,Total population,1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",2630
1,Total population,1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",2163
1,Total population,1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",2667
1,Total population,1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",1703
1,Total population,1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",2385
1,Total population,1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",2351
1,Total population,1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",1784
1,Total population,1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",1151
1,Total population,1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",1569
1,Total population,1400000US06001402800,6001402800,"Census Tract 4028, Alameda County, California",3345
1,Total population,1400000US06001402900,6001402900,"Census Tract 4029, Alameda County, California",1434
1,Total population,1400000US06001403000,6001403000,"Census Tract 4030, Alameda County, California",2788
1,Total population,1400000US06001403100,6001403100,"Census Tract 4031, Alameda County, California",2238
1,Total population,1400000US06001403300,6001403300,"Census Tract 4033, Alameda County, California",4054
1,Total population,1400000US06001403400,6001403400,"Census Tract 4034, Alameda County, California",4146
1,Total population,1400000US06001403501,6001403501,"Census Tract 4035.01, Alameda County, California",4374
1,Total population,1400000US06001403502,6001403502,"Census Tract 4035.02, Alameda County, California",1991
1,Total population,1400000US06001403600,6001403600,"Census Tract 4036, Alameda County, California",4482
1,Total population,1400000US06001403701,6001403701,"Census Tract 4037.01, Alameda County, California",2587
1,Total population,1400000US06001403702,6001403702,"Census Tract 4037.02, Alameda County, California",1724
1,Total population,1400000US06001403800,6001403800,"Census Tract 4038, Alameda County, California",3461
1,Total population,1400000US06001403900,6001403900,"Census Tract 4039, Alameda County, California",3584
1,Total population,1400000US06001404000,6001404000,"Census Tract 4040, Alameda County, California",2819
1,Total population,1400000US06001404101,6001404101,"Census Tract 4041.01, Alameda County, California",2929
1,Total population,1400000US06001404102,6001404102,"Census Tract 4041.02, Alameda County, California",2283
1,Total population,1400000US06001404200,6001404200,"Census Tract 4042, Alameda County, California",3483
1,Total population,1400000US06001404300,6001404300,"Census Tract 4043, Alameda County, California",3218
1,Total population,1400000US06001404400,6001404400,"Census Tract 4044, Alameda County, California",5314
1,Total population,1400000US06001404501,6001404501,"Census Tract 4045.01, Alameda County, California",1677
1,Total population,1400000US06001404502,6001404502,"Census Tract 4045.02, Alameda County, California",5784
1,Total population,1400000US06001404600,6001404600,"Census Tract 4046, Alameda County, California",4353
1,Total population,1400000US06001404700,6001404700,"Census Tract 4047, Alameda County, California",1954
1,Total population,1400000US06001404800,6001404800,"Census Tract 4048, Alameda County, California",2684
1,Total population,1400000US06001404900,6001404900,"Census Tract 4049, Alameda County, California",4129
1,Total population,1400000US06001405000,6001405000,"Census Tract 4050, Alameda County, California",3136
1,Total population,1400000US06001405100,6001405100,"Census Tract 4051, Alameda County, California",4197
1,Total population,1400000US06001405200,6001405200,"Census Tract 4052, Alameda County, California",4597
1,Total population,1400000US06001405301,6001405301,"Census Tract 4053.01, Alameda County, California",2603
1,Total population,1400000US06001405302,6001405302,"Census Tract 4053.02, Alameda County, California",2530
1,Total population,1400000US06001405401,6001405401,"Census Tract 4054.01, Alameda County, California",3957
1,Total population,1400000US06001405402,6001405402,"Census Tract 4054.02, Alameda County, California",3114
1,Total population,1400000US06001405500,6001405500,"Census Tract 4055, Alameda County, California",3643
1,Total population,1400000US06001405600,6001405600,"Census Tract 4056, Alameda County, California",3137
1,Total population,1400000US06001405700,6001405700,"Census Tract 4057, Alameda County, California",3243
1,Total population,1400000US06001405800,6001405800,"Census Tract 4058, Alameda County, California",3965
1,Total population,1400000US06001405901,6001405901,"Census Tract 4059.01, Alameda County, California",3910
1,Total population,1400000US06001405902,6001405902,"Census Tract 4059.02, Alameda County, California",3035
1,Total population,1400000US06001406000,6001406000,"Census Tract 4060, Alameda County, California",3450
1,Total population,1400000US06001406100,6001406100,"Census Tract 4061, Alameda County, California",4381
1,Total population,1400000US06001406201,6001406201,"Census Tract 4062.01, Alameda County, California",4649
1,Total population,1400000US06001406202,6001406202,"Census Tract 4062.02, Alameda County, California",4718
1,Total population,1400000US06001406300,6001406300,"Census Tract 4063, Alameda County, California",4113
1,Total population,1400000US06001406400,6001406400,"Census Tract 4064, Alameda County, California",2145
1,Total population,1400000US06001406500,6001406500,"Census Tract 4065, Alameda County, California",5930
1,Total population,1400000US06001406601,6001406601,"Census Tract 4066.01, Alameda County, California",4596
1,Total population,1400000US06001406602,6001406602,"Census Tract 4066.02, Alameda County, California",2493
1,Total population,1400000US06001406700,6001406700,"Census Tract 4067, Alameda County, California",5048
1,Total population,1400000US06001406800,6001406800,"Census Tract 4068, Alameda County, California",3428
1,Total population,1400000US06001406900,6001406900,"Census Tract 4069, Alameda County, California",3719
1,Total population,1400000US06001407000,6001407000,"Census Tract 4070, Alameda County, California",5885
1,Total population,1400000US06001407101,6001407101,"Census Tract 4071.01, Alameda County, California",3414
1,Total population,1400000US06001407102,6001407102,"Census Tract 4071.02, Alameda County, California",4351
1,Total population,1400000US06001407200,6001407200,"Census Tract 4072, Alameda County, California",6746
1,Total population,1400000US06001407300,6001407300,"Census Tract 4073, Alameda County, California",2598
1,Total population,1400000US06001407400,6001407400,"Census Tract 4074, Alameda County, California",3954
1,Total population,1400000US06001407500,6001407500,"Census Tract 4075, Alameda County, California",3931
1,Total population,1400000US06001407600,6001407600,"Census Tract 4076, Alameda County, California",6027
1,Total population,1400000US06001407700,6001407700,"Census Tract 4077, Alameda County, California",4109
1,Total population,1400000US06001407800,6001407800,"Census Tract 4078, Alameda County, California",2425
1,Total population,1400000US06001407900,6001407900,"Census Tract 4079, Alameda County, California",2706
1,Total population,1400000US06001408000,6001408000,"Census Tract 4080, Alameda County, California",2671
1,Total population,1400000US06001408100,6001408100,"Census Tract 4081, Alameda County, California",5991
1,Total population,1400000US06001408200,6001408200,"Census Tract 4082, Alameda County, California",4054
1,Total population,1400000US06001408300,6001408300,"Census Tract 4083, Alameda County, California",4167
1,Total population,1400000US06001408400,6001408400,"Census Tract 4084, Alameda County, California",3323
1,Total population,1400000US06001408500,6001408500,"Census Tract 4085, Alameda County, California",4972
1,Total population,1400000US06001408600,6001408600,"Census Tract 4086, Alameda County, California",5492
1,Total population,1400000US06001408700,6001408700,"Census Tract 4087, Alameda County, California",7207
1,Total population,1400000US06001408800,6001408800,"Census Tract 4088, Alameda County, California",5547
1,Total population,1400000US06001408900,6001408900,"Census Tract 4089, Alameda County, California",3414
1,Total population,1400000US06001409000,6001409000,"Census Tract 4090, Alameda County, California",3552
1,Total population,1400000US06001409100,6001409100,"Census Tract 4091, Alameda County, California",2255
1,Total population,1400000US06001409200,6001409200,"Census Tract 4092, Alameda County, California",3152
1,Total population,1400000US06001409300,6001409300,"Census Tract 4093, Alameda County, California",5229
1,Total population,1400000US06001409400,6001409400,"Census Tract 4094, Alameda County, California",4306
1,Total population,1400000US06001409500,6001409500,"Census Tract 4095, Alameda County, California",3122
1,Total population,1400000US06001409600,6001409600,"Census Tract 4096, Alameda County, California",5063
1,Total population,1400000US06001409700,6001409700,"Census Tract 4097, Alameda County, California",4696
1,Total population,1400000US06001409800,6001409800,"Census Tract 4098, Alameda County, California",2887
1,Total population,1400000US06001409900,6001409900,"Census Tract 4099, Alameda County, California",3308
1,Total population,1400000US06001410000,6001410000,"Census Tract 4100, Alameda County, California",2805
1,Total population,1400000US06001410100,6001410100,"Census Tract 4101, Alameda County, California",2406
1,Total population,1400000US06001410200,6001410200,"Census Tract 4102, Alameda County, California",3062
1,Total population,1400000US06001410300,6001410300,"Census Tract 4103, Alameda County, California",3536
1,Total population,1400000US06001410400,6001410400,"Census Tract 4104, Alameda County, California",3792
1,Total population,1400000US06001410500,6001410500,"Census Tract 4105, Alameda County, California",2193
1,Total population,1400000US06001420100,6001420100,"Census Tract 4201, Alameda County, California",2355
1,Total population,1400000US06001420200,6001420200,"Census Tract 4202, Alameda County, California",2898
1,Total population,1400000US06001420300,6001420300,"Census Tract 4203, Alameda County, California",4571
1,Total population,1400000US06001420400,6001420400,"Census Tract 4204, Alameda County, California",3124
1,Total population,1400000US06001420500,6001420500,"Census Tract 4205, Alameda County, California",2308
1,Total population,1400000US06001420600,6001420600,"Census Tract 4206, Alameda County, California",3283
1,Total population,1400000US06001421100,6001421100,"Census Tract 4211, Alameda County, California",1992
1,Total population,1400000US06001421200,6001421200,"Census Tract 4212, Alameda County, California",3563
1,Total population,1400000US06001421300,6001421300,"Census Tract 4213, Alameda County, California",3844
1,Total population,1400000US06001421400,6001421400,"Census Tract 4214, Alameda County, California",1593
1,Total population,1400000US06001421500,6001421500,"Census Tract 4215, Alameda County, California",3640
1,Total population,1400000US06001421600,6001421600,"Census Tract 4216, Alameda County, California",3558
1,Total population,1400000US06001421700,6001421700,"Census Tract 4217, Alameda County, California",3198
1,Total population,1400000US06001421800,6001421800,"Census Tract 4218, Alameda County, California",2007
1,Total population,1400000US06001421900,6001421900,"Census Tract 4219, Alameda County, California",3632
1,Total population,1400000US06001422000,6001422000,"Census Tract 4220, Alameda County, California",1756
1,Total population,1400000US06001422100,6001422100,"Census Tract 4221, Alameda County, California",2685
1,Total population,1400000US06001422200,6001422200,"Census Tract 4222, Alameda County, California",3144
1,Total population,1400000US06001422300,6001422300,"Census Tract 4223, Alameda County, California",3387
1,Total population,1400000US06001422400,6001422400,"Census Tract 4224, Alameda County, California",4196
1,Total population,1400000US06001422500,6001422500,"Census Tract 4225, Alameda County, California",4658
1,Total population,1400000US06001422600,6001422600,"Census Tract 4226, Alameda County, California",1215
1,Total population,1400000US06001422700,6001422700,"Census Tract 4227, Alameda County, California",4885
1,Total population,1400000US06001422800,6001422800,"Census Tract 4228, Alameda County, California",8368
1,Total population,1400000US06001422900,6001422900,"Census Tract 4229, Alameda County, California",4336
1,Total population,1400000US06001423000,6001423000,"Census Tract 4230, Alameda County, California",4396
1,Total population,1400000US06001423100,6001423100,"Census Tract 4231, Alameda County, California",3964
1,Total population,1400000US06001423200,6001423200,"Census Tract 4232, Alameda County, California",2794
1,Total population,1400000US06001423300,6001423300,"Census Tract 4233, Alameda County, California",3647
1,Total population,1400000US06001423400,6001423400,"Census Tract 4234, Alameda County, California",4685
1,Total population,1400000US06001423500,6001423500,"Census Tract 4235, Alameda County, California",3118
1,Total population,1400000US06001423601,6001423601,"Census Tract 4236.01, Alameda County, California",2642
1,Total population,1400000US06001423602,6001423602,"Census Tract 4236.02, Alameda County, California",5659
1,Total population,1400000US06001423700,6001423700,"Census Tract 4237, Alameda County, California",3633
1,Total population,1400000US06001423800,6001423800,"Census Tract 4238, Alameda County, California",2925
1,Total population,1400000US06001423901,6001423901,"Census Tract 4239.01, Alameda County, California",2020
1,Total population,1400000US06001423902,6001423902,"Census Tract 4239.02, Alameda County, California",1552
1,Total population,1400000US06001424001,6001424001,"Census Tract 4240.01, Alameda County, California",3716
1,Total population,1400000US06001424002,6001424002,"Census Tract 4240.02, Alameda County, California",2172
1,Total population,1400000US06001425101,6001425101,"Census Tract 4251.01, Alameda County, California",1596
1,Total population,1400000US06001425102,6001425102,"Census Tract 4251.02, Alameda County, California",2807
1,Total population,1400000US06001425103,6001425103,"Census Tract 4251.03, Alameda County, California",2502
1,Total population,1400000US06001425104,6001425104,"Census Tract 4251.04, Alameda County, California",3175
1,Total population,1400000US06001426100,6001426100,"Census Tract 4261, Alameda County, California",5922
1,Total population,1400000US06001426200,6001426200,"Census Tract 4262, Alameda County, California",4745
1,Total population,1400000US06001427100,6001427100,"Census Tract 4271, Alameda County, California",3646
1,Total population,1400000US06001427200,6001427200,"Census Tract 4272, Alameda County, California",4107
1,Total population,1400000US06001427300,6001427300,"Census Tract 4273, Alameda County, California",4896
1,Total population,1400000US06001427600,6001427600,"Census Tract 4276, Alameda County, California",4722
1,Total population,1400000US06001427700,6001427700,"Census Tract 4277, Alameda County, California",4866
1,Total population,1400000US06001427800,6001427800,"Census Tract 4278, Alameda County, California",4640
1,Total population,1400000US06001427900,6001427900,"Census Tract 4279, Alameda County, California",4567
1,Total population,1400000US06001428000,6001428000,"Census Tract 4280, Alameda County, California",2928
1,Total population,1400000US06001428100,6001428100,"Census Tract 4281, Alameda County, California",4651
1,Total population,1400000US06001428200,6001428200,"Census Tract 4282, Alameda County, California",6259
1,Total population,1400000US06001428301,6001428301,"Census Tract 4283.01, Alameda County, California",6526
1,Total population,1400000US06001428302,6001428302,"Census Tract 4283.02, Alameda County, California",7074
1,Total population,1400000US06001428400,6001428400,"Census Tract 4284, Alameda County, California",4357
1,Total population,1400000US06001428500,6001428500,"Census Tract 4285, Alameda County, California",3183
1,Total population,1400000US06001428600,6001428600,"Census Tract 4286, Alameda County, California",3271
1,Total population,1400000US06001428700,6001428700,"Census Tract 4287, Alameda County, California",4119
1,Total population,1400000US06001430101,6001430101,"Census Tract 4301.01, Alameda County, California",6523
1,Total population,1400000US06001430102,6001430102,"Census Tract 4301.02, Alameda County, California",2285
1,Total population,1400000US06001430200,6001430200,"Census Tract 4302, Alameda County, California",6916
1,Total population,1400000US06001430300,6001430300,"Census Tract 4303, Alameda County, California",3670
1,Total population,1400000US06001430400,6001430400,"Census Tract 4304, Alameda County, California",2046
1,Total population,1400000US06001430500,6001430500,"Census Tract 4305, Alameda County, California",6049
1,Total population,1400000US06001430600,6001430600,"Census Tract 4306, Alameda County, California",5887
1,Total population,1400000US06001430700,6001430700,"Census Tract 4307, Alameda County, California",3814
1,Total population,1400000US06001430800,6001430800,"Census Tract 4308, Alameda County, California",5394
1,Total population,1400000US06001430900,6001430900,"Census Tract 4309, Alameda County, California",4681
1,Total population,1400000US06001431000,6001431000,"Census Tract 4310, Alameda County, California",2714
1,Total population,1400000US06001431100,6001431100,"Census Tract 4311, Alameda County, California",3225
1,Total population,1400000US06001431200,6001431200,"Census Tract 4312, Alameda County, California",5627
1,Total population,1400000US06001432100,6001432100,"Census Tract 4321, Alameda County, California",3770
1,Total population,1400000US06001432200,6001432200,"Census Tract 4322, Alameda County, California",4080
1,Total population,1400000US06001432300,6001432300,"Census Tract 4323, Alameda County, California",4656
1,Total population,1400000US06001432400,6001432400,"Census Tract 4324, Alameda County, California",5814
1,Total population,1400000US06001432501,6001432501,"Census Tract 4325.01, Alameda County, California",4839
1,Total population,1400000US06001432502,6001432502,"Census Tract 4325.02, Alameda County, California",4485
1,Total population,1400000US06001432600,6001432600,"Census Tract 4326, Alameda County, California",6842
1,Total population,1400000US06001432700,6001432700,"Census Tract 4327, Alameda County, California",2478
1,Total population,1400000US06001432800,6001432800,"Census Tract 4328, Alameda County, California",3729
1,Total population,1400000US06001433000,6001433000,"Census Tract 4330, Alameda County, California",3832
1,Total population,1400000US06001433102,6001433102,"Census Tract 4331.02, Alameda County, California",3989
1,Total population,1400000US06001433103,6001433103,"Census Tract 4331.03, Alameda County, California",3530
1,Total population,1400000US06001433104,6001433104,"Census Tract 4331.04, Alameda County, California",3760
1,Total population,1400000US06001433200,6001433200,"Census Tract 4332, Alameda County, California",6897
1,Total population,1400000US06001433300,6001433300,"Census Tract 4333, Alameda County, California",6834
1,Total population,1400000US06001433400,6001433400,"Census Tract 4334, Alameda County, California",6305
1,Total population,1400000US06001433500,6001433500,"Census Tract 4335, Alameda County, California",4352
1,Total population,1400000US06001433600,6001433600,"Census Tract 4336, Alameda County, California",5978
1,Total population,1400000US06001433700,6001433700,"Census Tract 4337, Alameda County, California",3182
1,Total population,1400000US06001433800,6001433800,"Census Tract 4338, Alameda County, California",7369
1,Total population,1400000US06001433900,6001433900,"Census Tract 4339, Alameda County, California",6599
1,Total population,1400000US06001434000,6001434000,"Census Tract 4340, Alameda County, California",4884
1,Total population,1400000US06001435102,6001435102,"Census Tract 4351.02, Alameda County, California",5179
1,Total population,1400000US06001435103,6001435103,"Census Tract 4351.03, Alameda County, California",6403
1,Total population,1400000US06001435104,6001435104,"Census Tract 4351.04, Alameda County, California",5216
1,Total population,1400000US06001435200,6001435200,"Census Tract 4352, Alameda County, California",4140
1,Total population,1400000US06001435300,6001435300,"Census Tract 4353, Alameda County, California",4479
1,Total population,1400000US06001435400,6001435400,"Census Tract 4354, Alameda County, California",4503
1,Total population,1400000US06001435500,6001435500,"Census Tract 4355, Alameda County, California",3725
1,Total population,1400000US06001435601,6001435601,"Census Tract 4356.01, Alameda County, California",4902
1,Total population,1400000US06001435602,6001435602,"Census Tract 4356.02, Alameda County, California",5329
1,Total population,1400000US06001435700,6001435700,"Census Tract 4357, Alameda County, California",4594
1,Total population,1400000US06001435800,6001435800,"Census Tract 4358, Alameda County, California",5382
1,Total population,1400000US06001435900,6001435900,"Census Tract 4359, Alameda County, California",5073
1,Total population,1400000US06001436000,6001436000,"Census Tract 4360, Alameda County, California",4557
1,Total population,1400000US06001436100,6001436100,"Census Tract 4361, Alameda County, California",5261
1,Total population,1400000US06001436200,6001436200,"Census Tract 4362, Alameda County, California",3827
1,Total population,1400000US06001436300,6001436300,"Census Tract 4363, Alameda County, California",7129
1,Total population,1400000US06001436401,6001436401,"Census Tract 4364.01, Alameda County, California",7042
1,Total population,1400000US06001436402,6001436402,"Census Tract 4364.02, Alameda County, California",2618
1,Total population,1400000US06001436500,6001436500,"Census Tract 4365, Alameda County, California",4583
1,Total population,1400000US06001436601,6001436601,"Census Tract 4366.01, Alameda County, California",6091
1,Total population,1400000US06001436602,6001436602,"Census Tract 4366.02, Alameda County, California",4571
1,Total population,1400000US06001436700,6001436700,"Census Tract 4367, Alameda County, California",3284
1,Total population,1400000US06001436800,6001436800,"Census Tract 4368, Alameda County, California",4027
1,Total population,1400000US06001436900,6001436900,"Census Tract 4369, Alameda County, California",6724
1,Total population,1400000US06001437000,6001437000,"Census Tract 4370, Alameda County, California",3473
1,Total population,1400000US06001437101,6001437101,"Census Tract 4371.01, Alameda County, California",6448
1,Total population,1400000US06001437102,6001437102,"Census Tract 4371.02, Alameda County, California",4251
1,Total population,1400000US06001437200,6001437200,"Census Tract 4372, Alameda County, California",6755
1,Total population,1400000US06001437300,6001437300,"Census Tract 4373, Alameda County, California",3111
1,Total population,1400000US06001437400,6001437400,"Census Tract 4374, Alameda County, California",3408
1,Total population,1400000US06001437500,6001437500,"Census Tract 4375, Alameda County, California",4528
1,Total population,1400000US06001437600,6001437600,"Census Tract 4376, Alameda County, California",3217
1,Total population,1400000US06001437701,6001437701,"Census Tract 4377.01, Alameda County, California",3649
1,Total population,1400000US06001437702,6001437702,"Census Tract 4377.02, Alameda County, California",4256
1,Total population,1400000US06001437800,6001437800,"Census Tract 4378, Alameda County, California",4621
1,Total population,1400000US06001437900,6001437900,"Census Tract 4379, Alameda County, California",2338
1,Total population,1400000US06001438000,6001438000,"Census Tract 4380, Alameda County, California",3283
1,Total population,1400000US06001438100,6001438100,"Census Tract 4381, Alameda County, California",7675
1,Total population,1400000US06001438201,6001438201,"Census Tract 4382.01, Alameda County, California",4540
1,Total population,1400000US06001438203,6001438203,"Census Tract 4382.03, Alameda County, California",3920
1,Total population,1400000US06001438204,6001438204,"Census Tract 4382.04, Alameda County, California",5368
1,Total population,1400000US06001438300,6001438300,"Census Tract 4383, Alameda County, California",3731
1,Total population,1400000US06001438400,6001438400,"Census Tract 4384, Alameda County, California",2331
1,Total population,1400000US06001440100,6001440100,"Census Tract 4401, Alameda County, California",2310
1,Total population,1400000US06001440200,6001440200,"Census Tract 4402, Alameda County, California",5989
1,Total population,1400000US06001440301,6001440301,"Census Tract 4403.01, Alameda County, California",7312
1,Total population,1400000US06001440304,6001440304,"Census Tract 4403.04, Alameda County, California",4674
1,Total population,1400000US06001440305,6001440305,"Census Tract 4403.05, Alameda County, California",3883
1,Total population,1400000US06001440306,6001440306,"Census Tract 4403.06, Alameda County, California",3841
1,Total population,1400000US06001440307,6001440307,"Census Tract 4403.07, Alameda County, California",4219
1,Total population,1400000US06001440308,6001440308,"Census Tract 4403.08, Alameda County, California",5883
1,Total population,1400000US06001440331,6001440331,"Census Tract 4403.31, Alameda County, California",3205
1,Total population,1400000US06001440332,6001440332,"Census Tract 4403.32, Alameda County, California",3310
1,Total population,1400000US06001440333,6001440333,"Census Tract 4403.33, Alameda County, California",2839
1,Total population,1400000US06001440334,6001440334,"Census Tract 4403.34, Alameda County, California",4016
1,Total population,1400000US06001440335,6001440335,"Census Tract 4403.35, Alameda County, California",6496
1,Total population,1400000US06001440336,6001440336,"Census Tract 4403.36, Alameda County, California",4459
1,Total population,1400000US06001441100,6001441100,"Census Tract 4411, Alameda County, California",4308
1,Total population,1400000US06001441200,6001441200,"Census Tract 4412, Alameda County, California",6816
1,Total population,1400000US06001441301,6001441301,"Census Tract 4413.01, Alameda County, California",3179
1,Total population,1400000US06001441302,6001441302,"Census Tract 4413.02, Alameda County, California",5553
1,Total population,1400000US06001441401,6001441401,"Census Tract 4414.01, Alameda County, California",6931
1,Total population,1400000US06001441402,6001441402,"Census Tract 4414.02, Alameda County, California",5233
1,Total population,1400000US06001441501,6001441501,"Census Tract 4415.01, Alameda County, California",6068
1,Total population,1400000US06001441503,6001441503,"Census Tract 4415.03, Alameda County, California",5389
1,Total population,1400000US06001441521,6001441521,"Census Tract 4415.21, Alameda County, California",5869
1,Total population,1400000US06001441522,6001441522,"Census Tract 4415.22, Alameda County, California",4980
1,Total population,1400000US06001441523,6001441523,"Census Tract 4415.23, Alameda County, California",4077
1,Total population,1400000US06001441524,6001441524,"Census Tract 4415.24, Alameda County, California",4010
1,Total population,1400000US06001441601,6001441601,"Census Tract 4416.01, Alameda County, California",4561
1,Total population,1400000US06001441602,6001441602,"Census Tract 4416.02, Alameda County, California",6802
1,Total population,1400000US06001441700,6001441700,"Census Tract 4417, Alameda County, California",7436
1,Total population,1400000US06001441800,6001441800,"Census Tract 4418, Alameda County, California",6786
