,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,county_x,tractfips,logrecno,fipsblock,state,county_y,tract,blkgrp,block,arealand,P0010001,H00010001,outlier,view,walk
0,bayview,Take A TOUR ON OUR ONE FURNISHED BEDROOM TODAY,950.0,1.0,4076905111,-122.396965,SF,/sfc/apa/4076905111.html,37.761216,,Sep,18,2013,060750227022008,06075,San Francisco,06075022702,589451,060750227022008,06,075,022702,2,2008,12111,110,47,False,0,0
1,bayview,Only walking distance to major shopping centers.,950.0,1.0,4076901755,-122.39679299999999,SF,/sfc/apa/4076901755.html,37.76108,,Sep,18,2013,060750227022008,06075,San Francisco,06075022702,589451,060750227022008,06,075,022702,2,2008,12111,110,47,False,0,1
2,bayview,"furnished - 1 Bedroom(s), 1 Bath(s), Air Conditioner, Family Room, ",950.0,1.0,4076899340,-122.3971,SF,/sfc/apa/4076899340.html,37.7621,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,0
3,bayview,"We accept either 6, 12 month or month-to-month lease",950.0,1.0,4076896866,-122.39713700000001,SF,/sfc/apa/4076896866.html,37.762029999999996,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,0
4,SOMA / south beach,Within Walking Distance of Public Transportation,2930.0,1.0,4075785618,-122.3971,SF,/sfc/apa/4075785618.html,37.7621,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,1
5,SOMA / south beach,Within Walking Distance of Public Transportation,4570.0,2.0,4076415074,-122.3971,SF,/sfc/apa/4076415074.html,37.7621,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,1
6,SOMA / south beach,Spectacular South of Market Apartments Now Leasing!,2960.0,1.0,4075567549,-122.3971,SF,/sfc/apa/4075567549.html,37.7621,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,0
7,SOMA / south beach,"We Offer Great Amenities Including A Heated Pool, Sundeck & Spa!",3055.0,1.0,4073783649,-122.3971,SF,/sfc/apa/4073783649.html,37.7621,564.0,Sep,17,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,0
8,SOMA / south beach,Spacious 2 BR in the Fabulous Yerba Buena Neighborhood! ,4570.0,2.0,4074101152,-122.3971,SF,/sfc/apa/4074101152.html,37.7621,1098.0,Sep,17,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,0
9,SOMA / south beach,Luxurious 1 BR 1 BA Apartment Located in heart of SOMA.,3055.0,1.0,4075941985,-122.3971,SF,/sfc/apa/4075941985.html,37.7621,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702,589448,060750227022005,06,075,022702,2,2005,12177,75,37,False,0,0
