,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,county,tractfips
0,bayview,Take A TOUR ON OUR ONE FURNISHED BEDROOM TODAY,950.0,1.0,4076905111,-122.396965,SF,/sfc/apa/4076905111.html,37.761216,,Sep,18,2013,060750227022008,06075,San Francisco,06075022702
1,bayview,Only walking distance to major shopping centers.,950.0,1.0,4076901755,-122.39679299999999,SF,/sfc/apa/4076901755.html,37.76108,,Sep,18,2013,060750227022008,06075,San Francisco,06075022702
2,bayview,"furnished - 1 Bedroom(s), 1 Bath(s), Air Conditioner, Family Room, ",950.0,1.0,4076899340,-122.3971,SF,/sfc/apa/4076899340.html,37.7621,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702
3,financial district,"*NEW* Beautiful, Upscale Condo in Historic Jackson Square",3300.0,1.0,4067393707,-122.39974699999999,SF,/sfc/apa/4067393707.html,37.798108,830.0,Sep,18,2013,060750105002005,06075,San Francisco,06075010500
4,visitacion valley,楼上全层3房,2000.0,3.0,4076901071,,SF,/sfc/apa/4076901071.html,,1280.0,Sep,18,2013,,,,
5,bernal heights,"2 Bedroom House w/Bonus Room, Fireplace, Yard, Deck & Views",3850.0,2.0,4076899828,,SF,/sfc/apa/4076899828.html,,,Sep,18,2013,,,,
6,marina / cow hollow,"♥♥♥ Chic, cozy & sunny in Marina ♥♥♥ ",3399.0,,4076892173,,SF,/sfc/apa/4076892173.html,,,Sep,18,2013,,,,
7,north beach / telegraph hill,Fully Furnished 2BR/2BA Condo with Bay View,5250.0,2.0,4076895917,,SF,/sfc/apa/4076895917.html,,1000.0,Sep,18,2013,,,,
8,bayview,"We accept either 6, 12 month or month-to-month lease",950.0,1.0,4076896866,-122.39713700000001,SF,/sfc/apa/4076896866.html,37.762029999999996,,Sep,18,2013,060750227022005,06075,San Francisco,06075022702
9,bayview,"3 Bayside Village Pl, San Francisco, CA 94107",950.0,1.0,4076892885,-122.39645,SF,/sfc/apa/4076892885.html,37.764065,,Sep,18,2013,060750227021002,06075,San Francisco,06075022702
10,castro / upper market,remodeled 1bd/1ba,2950.0,1.0,4076891344,-122.44033400000001,SF,/sfc/apa/4076891344.html,37.757405,900.0,Sep,18,2013,060750204022001,06075,San Francisco,06075020402
11,sunset / parkside,Panoramic Ocean View 2 Bedroom House,3500.0,2.0,4060191270,-122.48358200000001,SF,/sfc/apa/4060191270.html,37.748315000000005,1400.0,Sep,18,2013,060750328013002,06075,San Francisco,06075032801
12,russian hill,Condo for rent,2800.0,1.0,4076859550,-122.41928,SF,/sfc/apa/4076859550.html,37.800360999999995,720.0,Sep,18,2013,060750102002001,06075,San Francisco,06075010200
13,russian hill,This Beautiful Condo for rent,2700.0,1.0,4076794143,-122.4091,SF,/sfc/apa/4076794143.html,37.8002,720.0,Sep,18,2013,060750106003004,06075,San Francisco,06075010600
14,mission district,"Brand New Beautiful 1 Bedroom, 1 Bathroom ",2100.0,1.0,4076879610,-122.439626,SF,/sfc/apa/4076879610.html,37.719284,,Sep,18,2013,060750261001008,06075,San Francisco,06075026100
15,excelsior / outer mission,10-month sublet Furnished 2 BR Home in Mission Terrace utls. included,2600.0,2.0,4041653284,-122.43985,SF,/sfc/apa/4041653284.html,37.723481,900.0,Sep,18,2013,060750261004001,06075,San Francisco,06075026100
16,inner sunset / UCSF,"Spacious Home, Freshly Painted & New Floors, W& D - Open Fri 5-6pm",2850.0,2.0,4076867759,-122.4836,SF,/sfc/apa/4076867759.html,37.7593,,Sep,18,2013,060750326022007,06075,San Francisco,06075032602
17,russian hill,A wholesome Apartment to suit your demand ,3500.0,2.0,4076794509,-122.4186,SF,/sfc/apa/4076794509.html,37.7917,1054.0,Sep,18,2013,060750111002001,06075,San Francisco,06075011100
18,castro / upper market,"Unfurnished Custom Home not a Flat, backyard w/views. Pets Okay.",6100.0,3.0,4050301632,-122.435472,SF,/sfc/apa/4050301632.html,37.765727000000005,,Sep,18,2013,060750169002003,06075,San Francisco,06075016900
19,castro / upper market,"Furnished Custom Edwardian Home, backyard w/views. Pets Okay.",6495.0,3.0,4050192349,-122.435472,SF,/sfc/apa/4050192349.html,37.765727000000005,,Sep,18,2013,060750169002003,06075,San Francisco,06075016900
20,Lake Tahoe,House sitting $890 1500ft² -Sun deck- 8 to 12 mo,890.0,,4076829439,,SF,/sfc/apa/4076829439.html,,,Sep,18,2013,,,,
21,pacific heights,"Remodeled, cozy one bedroom in Pacific Heights",2800.0,1.0,4076869885,-122.443753,SF,/sfc/apa/4076869885.html,37.787647,,Sep,18,2013,060750134002006,06075,San Francisco,06075013400
22,haight ashbury,Sunny top floor 960 sq ft 2 bd,3500.0,2.0,4076867004,-122.445535,SF,/sfc/apa/4076867004.html,37.771142,960.0,Sep,18,2013,060750166004000,06075,San Francisco,06075016600
23,inner richmond,***OPEN SAT 9/21 12:00pm-2:00pm*** ,2200.0,2.0,4076851460,-122.4614,SF,/sfc/apa/4076851460.html,37.7812,700.0,Sep,18,2013,060750451003000,06075,San Francisco,06075045100
24,mission district,"GORGEOUS BRAND NEW HIGH-END CONDOS COMING SOON!DECKS,PATIOS,PARKG,W&D",3695.0,1.0,4076843126,,SF,/sfc/apa/4076843126.html,,,Sep,18,2013,,,,
25,bayview,New remodeled 3 BR/3 BA plus office single family house ,3000.0,3.0,4072178511,-122.391171,SF,/sfc/apa/4072178511.html,37.719829,1476.0,Sep,18,2013,060750234002007,06075,San Francisco,06075023400
26,SOMA / south beach,Furnished Bright Condo with Incredible Views - RelISTO ,4500.0,1.0,4052254551,,SF,/sfc/apa/4052254551.html,,900.0,Sep,18,2013,,,,
27,richmond / seacliff,CliffHouse Ocean View 3BR/2BA 2 Indoor Parking Available 1st of OCT. ,3600.0,3.0,4059907648,-122.51129499999999,SF,/sfc/apa/4059907648.html,37.775076,1450.0,Sep,18,2013,060750479012006,06075,San Francisco,06075047901
28,tenderloin,ALL UTILTIIES INCLUDED!!Sunny and spacious studio steps fm polk Gultch,1625.0,,4076752401,,SF,/sfc/apa/4076752401.html,,,Sep,18,2013,,,,
29,SOMA / south beach,Open House 9/21 @2pm! Bright Urban Live /Work,3695.0,1.0,4076724706,,SF,/sfc/apa/4076724706.html,,1000.0,Sep,18,2013,,,,
30,ingleside / SFSU / CCSF,Furnished Luxury Apartment Walking Distance to Whole Foods Market,5200.0,3.0,4076809356,-122.45614499999999,SF,/sfc/apa/4076809356.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201
31,lower pac hts,Large Jr. One Bedroom $2395.00,2395.0,1.0,4076816644,-122.426768,SF,/sfc/apa/4076816644.html,37.787403000000005,575.0,Sep,18,2013,060750152001005,06075,San Francisco,06075015200
32,richmond / seacliff,New remod.top flat on 22nd Ave.,3800.0,4.0,4076816059,-122.481187,SF,/sfc/apa/4076816059.html,37.775611,,Sep,18,2013,060750477022002,06075,San Francisco,06075047702
33,lower nob hill,ALL UTILITIES INCLUDED!!Sunny and Spacious STEPS from DT!Not TL,1995.0,,4076670538,-122.41210500000001,SF,/sfc/apa/4076670538.html,37.786865,,Sep,18,2013,060750123022002,06075,San Francisco,06075012302
34,alamo square / nopa,HURRY!!!Sunny and Spacious studio STEPS from Alamo SQ Park!,2175.0,,4076732050,-122.25,SF,/sfc/apa/4076732050.html,37.5,,Sep,18,2013,060816091002041,06081,San Mateo,06081609100
35,financial district,Golden Gateway Commons | 2BR + office townhouse & 4 decks!!,5500.0,2.0,4036170429,,SF,/sfc/apa/4036170429.html,,1450.0,Sep,18,2013,,,,
36,marina / cow hollow,Beautiful Studio in the Marina,2350.0,,4076767117,-122.44527,SF,/sfc/apa/4076767117.html,37.803492999999996,,Sep,18,2013,060750127001016,06075,San Francisco,06075012700
37,SOMA / south beach,Huge Loft - Office - Den - Sun Room - Roof - ReLISTO,6000.0,1.0,4076759063,,SF,/sfc/apa/4076759063.html,,1600.0,Sep,18,2013,,,,
38,potrero hill,Open House 9/21 @ 1pm -Luxurious Penthouse - Now Available - ReLISTO ,11495.0,3.0,4072013382,,SF,/sfc/apa/4072013382.html,,,Sep,18,2013,,,,
39,lower pac hts,I WANT TO LIVE HERE!!Stunning 2BR/2BTH with Laundry!WALK TO FILLMORE,3900.0,2.0,4076664875,,SF,/sfc/apa/4076664875.html,,,Sep,18,2013,,,,
40,lower pac hts,LIVE STEPS FROM FILLMORE STREET!Fitness Ctr and BBQ!,4795.0,2.0,4076735477,,SF,/sfc/apa/4076735477.html,,,Sep,18,2013,,,,
41,,Ocean View Home 3br+familyroom w/ 2 decks! Close to UCSF and Mt. Sutro,4995.0,3.0,4076782225,-122.459616,SF,/sfc/apa/4076782225.html,37.756145000000004,,Sep,18,2013,060750301021012,06075,San Francisco,06075030102
42,potrero hill,Open House!Live OnTop of Potrero - HotTub/Views/Pool - ReLISTO ,11495.0,3.0,4072022069,,SF,/sfc/apa/4072022069.html,,,Sep,18,2013,,,,
