date,title,neighborhood,sqft,price,bedrooms,longitude,latitude
11/14/2014 12:26,Comfort & Convenience At an Affordable Price,foster city,755,2495,1,-122.27,37.5538
11/14/2014 12:25,"$250 Visa Gift Card! Brand new flooring, appliances and so much more!",palo alto,443,2695,,-122.161524,37.450289
11/14/2014 12:24,"Sunny 2 bed/2 bath Spacious Condo, personal washer & dryer",brisbane,1242,3150,2,-122.417912,37.692415
11/14/2014 12:24,Spacious Updated Apt. Close to Stanford,palo alto,,2800,2,,
11/14/2014 12:24,BOTTOM FLOOR ONE BEDROOM! PG&E IS INCLUDED! $199 DEPOSIT!,san mateo,676,2196,1,-122.2998,37.5395
11/14/2014 12:28,Elegant Three Bd. W/ Unique Wood-Burning Fireplace & Lakefront View!!,santa clara,1138,3264,3,,
11/14/2014 12:28,Welcome Home! Warmth and convenience all in one.,san jose south,822,2000,2,-121.902268,37.253503
11/14/2014 12:28,Luxury Townhome!Located Next To Everything!Limited Availability Hurry!,sunnyvale,1406,4740,3,-122.034683,37.368445
11/14/2014 12:32,LIKE NEW- 2 bedroom w/ parking included SF apartment - OPEN NOW,inner sunset / UCSF,,3395,2,-122.479345,37.764582
11/14/2014 12:32,Open House Rare One Bedroom Loft By Golden Gate Park & Ocean Beach,richmond / seacliff,,2699,1,-122.503781,37.7718
11/14/2014 12:30,Gorgeous one BR with in-unit W/D,SOMA / south beach,860,3620,1,-122.395195,37.775133
11/14/2014 12:18,Special Price For this Spacious Two Bedroom Cottage with huge patio,dublin / pleasanton / livermore,636,2025,1,-121.787665,37.67963
11/14/2014 12:18,Sit Back and Relax In This Wonderful Two Bedroom!,concord / pleasant hill / martinez,1019,2378,2,-122.035275,37.975259
11/14/2014 12:17,Newly Renovated 1 Bedroom 1 Bath!2nd Floor w/BAY VIEW!,"hercules, pinole, san pablo, el sob",715,1795,1,-122.321672,37.978086
11/14/2014 12:33,Located in the Heart of Corte Madera / Georgeous Apartments,corte madera,1533,4299,3,-122.488541,37.919834
11/14/2014 12:32,"Bright 1 bed, 1 bath, and approximately 720 sqft ",santa rosa,,950,1,,
11/14/2014 12:24,"Sunnyvale 3/1.5bath, upgraded, conv. location",Fair Oaks & Olive,1200,2695,3,-122.0238,37.3764
11/14/2014 12:23,Winston Park Area-House for Rent,south san francisco,,4500,5,-122.457417,37.667437
11/14/2014 12:21,"Exec worthy condo, pool, gym & billiards- walk to shops!",burlingame,1600,3900,2,-122.344881,37.575835
11/14/2014 12:28,Bristol Commons Is Your New Home!!!,sunnyvale,1100,2939,2,-122.017293,37.370908
11/14/2014 12:28,Lovely Renovated 1 BD 1 BTH In An Astounding Location! ,sunnyvale,760,2045,1,-122.059349,37.375874
11/14/2014 12:26," Available Now!!! High Ceilings, FirePlace Corner Unit",sunnyvale,908,2505,2,-122.016381,37.400727
11/14/2014 12:29,SUNSET THREE BEDROOM WITH LAUNDRY,sunset / parkside,,3000,3,-122.479684,37.754515
11/14/2014 12:29,"TopFlr w Gorgeous View in Safe Neighborhd Norbert, SBayCoBusStp, MUNI ",glen park,1000,3100,2,-122.439743,37.731584
11/14/2014 12:15,"2 Bed on Top floor with a cozy fireplace, pet approved home!",fremont / union city / newark,1008,2481,2,-122.032,37.5368
11/14/2014 12:14,♦COME AND SEE WHAT YOU HAVE BEEN MISSING♦,fremont / union city / newark,980,2295,2,-121.988577,37.550603
