,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
3,financial district,"*NEW* Beautiful, Upscale Condo in Historic Jackson Square",3300.0,1.0,4067393707,-122.39974699999999,SF,/sfc/apa/4067393707.html,37.798108,830.0,Sep,18,2013,60750105002005,6075,San Francisco,3.9759036144578315,4
6,castro / upper market,remodeled 1bd/1ba,2950.0,1.0,4076891344,-122.44033400000001,SF,/sfc/apa/4076891344.html,37.757405,900.0,Sep,18,2013,60750204022001,6075,San Francisco,3.2777777777777777,4
7,sunset / parkside,Panoramic Ocean View 2 Bedroom House,3500.0,2.0,4060191270,-122.48358200000001,SF,/sfc/apa/4060191270.html,37.74831500000001,1400.0,Sep,18,2013,60750328013002,6075,San Francisco,2.5,2
8,russian hill,Condo for rent,2800.0,1.0,4076859550,-122.41928,SF,/sfc/apa/4076859550.html,37.800360999999995,720.0,Sep,18,2013,60750102002001,6075,San Francisco,3.888888888888889,4
9,russian hill,This Beautiful Condo for rent,2700.0,1.0,4076794143,-122.4091,SF,/sfc/apa/4076794143.html,37.8002,720.0,Sep,18,2013,60750106003004,6075,San Francisco,3.75,4
11,excelsior / outer mission,10-month sublet Furnished 2 BR Home in Mission Terrace utls. included,2600.0,2.0,4041653284,-122.43985,SF,/sfc/apa/4041653284.html,37.723481,900.0,Sep,18,2013,60750261004001,6075,San Francisco,2.888888888888889,3
13,russian hill,A wholesome Apartment to suit your demand ,3500.0,2.0,4076794509,-122.4186,SF,/sfc/apa/4076794509.html,37.7917,1054.0,Sep,18,2013,60750111002001,6075,San Francisco,3.3206831119544593,4
17,haight ashbury,Sunny top floor 960 sq ft 2 bd,3500.0,2.0,4076867004,-122.445535,SF,/sfc/apa/4076867004.html,37.771142,960.0,Sep,18,2013,60750166004000,6075,San Francisco,3.6458333333333335,4
18,inner richmond,***OPEN SAT 9/21 12:00pm-2:00pm*** ,2200.0,2.0,4076851460,-122.4614,SF,/sfc/apa/4076851460.html,37.7812,700.0,Sep,18,2013,60750451003000,6075,San Francisco,3.142857142857143,3
19,bayview,New remodeled 3 BR/3 BA plus office single family house ,3000.0,3.0,4072178511,-122.391171,SF,/sfc/apa/4072178511.html,37.719829,1476.0,Sep,18,2013,60750234002007,6075,San Francisco,2.032520325203252,1
20,richmond / seacliff,CliffHouse Ocean View 3BR/2BA 2 Indoor Parking Available 1st of OCT. ,3600.0,3.0,4059907648,-122.51129499999999,SF,/sfc/apa/4059907648.html,37.775076,1450.0,Sep,18,2013,60750479012006,6075,San Francisco,2.4827586206896552,2
21,ingleside / SFSU / CCSF,Furnished Luxury Apartment Walking Distance to Whole Foods Market,5200.0,3.0,4076809356,-122.45614499999999,SF,/sfc/apa/4076809356.html,37.722762,1500.0,Sep,18,2013,60750312012003,6075,San Francisco,3.466666666666667,4
22,lower pac hts,Large Jr. One Bedroom $2395.00,2395.0,1.0,4076816644,-122.426768,SF,/sfc/apa/4076816644.html,37.78740300000001,575.0,Sep,18,2013,60750152001005,6075,San Francisco,4.165217391304348,4
