X,Y,OBJECTID,OSHPD_ID,LICENSE_NO,LICENSEID,ADDRESSID,FACILITYID,ENTITYID,PERM_ID,FACILITY,ALIAS,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP_CODE,ZIPPLUS4,CONTACT,PHONE,FAC_TYPE,FAC_STATUS,STATUS_ID,STATUS_DAT,ADDR_DATE,TYPE,TYPE_ID,CATEGORY,CATEGRY_ID,CNTRL_CTGY,CNTRL_TYPE,LIC_BEDS,LIC_ED_LVL,EMS_TRAUMA,TEACH_HOSP,RURAL_HOSP,GCD_MTYPE,GCD_SCORE,LONGITUDE,LATITUDE,COUNTY,CNTY_FIPS,MSSA_ID,MSSA_DFN,TRACT_FIPS,TRACT,BLOCK_FIPS,SD,AD,CD,OES,FDD,HSA,SPA,RUCA,MA,UA,CAH,DSH,FQHC,FQHC_LOOK
-117.21870414261357,32.753103207657254,7448,206370763,090000088,53321,71840,1507,4562,22351,POINT LOMA CONVALESCENT HOSPITAL,Point Loma Conv,3202 Duke St,,San Diego,CA,92110,5401,,,2,Open,2,1964/01/23,2007/03/28,Long Term Care Facility,4,Skilled Nursing Facility,18,,,133.00000000,,,0,0,,0,-117.21871600,32.75310800,San Diego,073,161n,Urban,06073006802,68.02,060730068022000,39,76,53,3,SOU,14,0,0,1,1,0,0,0,0
-115.50557985159584,32.69400462896543,7449,306131254,090000137,58538,150381,2065,584,34442,CLINICAS DE SALUD DEL PUEBLO INC - CALEXICO,Clinicas De Salud Del Pueblo,223 W Cole Rd,,Calexico,CA,92231,,,,3,Open,2,1978/05/17,2011/06/09,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,89,-115.50559140,32.69400950,Imperial,025,49,Rural,06025011900,119,060250119001102,40,80,51,3,SOU,14,0,1,1,0,0,0,0,0
-121.24753090006084,38.761505843257559,7450,306314031,030000764,28918,67025,2756,2300,38019,ROSEVILLE SURGERY CENTER,Roseville Surgery Ctr,1420 E Roseville Pkwy Ste 100,Ste 100,Roseville,CA,95661,3080,,,3,Closed,1,2007/09/19,2007/01/11,Clinic,1,Surgical Clinic,20,Investor Owned,Investor - Corporation,0.00000000,,,0,0,,0,-121.24754400,38.76151100,Placer,061,121.1,Urban,06061020704,207.04,060610207041007,01,04,04,2,NOR,02,0,0,1,1,0,0,0,0
-117.89651194484762,33.839351116428823,7451,206301294,060000156,58260,70853,1273,2049,20452,PARKVIEW HEALTHCARE CENTER-ANAHEIM,Parkview Hlth Care Ctr,1514 E Lincoln Ave,,Anaheim,CA,92805,2219,,,2,Open,2,1957/07/26,2007/03/19,Long Term Care Facility,4,Skilled Nursing Facility,18,Investor Owned,Investor - Limited Liability Company,41.00000000,,,0,0,,0,-117.89652400,33.83935600,Orange,059,116q,Urban,06059086301,863.01,060590863011003,34,72,47,3,SLA,13,0,0,1,1,0,0,0,0
-122.29861979146361,38.319102959326514,7452,406284002,010000218,55155,64983,4100,3130,46371,YOUR HOME NURSING SERVICES,Your Home Nursing Svcs,3188 Jefferson St,,Napa,CA,94558,4924,,,4,Open,2,1990/11/20,2006/11/30,Home Health Agency/Hospice,2,Home Health Agency,9,,,0.00000000,,,0,0,,0,-122.29863300,38.31910800,Napa,055,112.2,Rural,06055200502,2005.02,060552005021003,02,07,01,1,NOR,03,0,0,1,1,0,0,0,0
-122.04987583549062,38.260079945219381,7453,406484041,010000436,56974,88676,4729,3419,48635,"EAST BAY HOME HEALTH SERVICES, INC.",East Bay Home Hlth Svcs,1710 Pennsylvania Ave,,Fairfield,CA,94533,,,,4,Open,2,2003/04/01,2008/03/24,Home Health Agency/Hospice,2,Home Health Agency,9,,,0.00000000,,,0,0,,0,-122.04988900,38.26008500,Solano,095,202b,Urban,06095252604,2526.04,060952526041008,05,08,10,1,NOR,03,0,0,1,1,0,0,0,0
-117.86712195474526,33.782957120811879,7454,306304322,060000919,55902,66133,4854,2652,38657,PUENTE A LA SALUD-MOBILE UNIT IV,Puente A La Salud (Mobile),363 S Main St,,Orange,CA,92868,3833,,,3,Open,2,2004/02/26,2006/12/27,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-117.86713400,33.78296200,Orange,059,116h,Urban,06059076000,760,060590760005002,33,72,40,3,SLA,13,0,0,1,1,0,0,0,0
-121.9620169615369,37.283255022725093,7455,206430767,070000041,54998,3185,1673,1384,20884,GREENHILLS MANOR,Greenhills Manor,238 Virginia Ave,,Campbell,CA,95008,,,,2,Open,2,1966/01/03,2003/08/12,Long Term Care Facility,4,Skilled Nursing Facility,18,,,45.00000000,,,0,0,,100,-121.96203000,37.28326000,Santa Clara,085,183m,Urban,06085506603,5066.03,060855066031016,11,24,15,1,COA,07,0,0,1,1,0,0,0,0
-119.26173766604971,34.44198512630966,7456,306564045,050000307,54021,5920,3436,585,31506,OJAI VALLEY COMMUNITY HEALTH CENTER,Ojai Valley Cmty Hlth Ctr,1200 Maricopa Hwy,,Ojai,CA,93023,,,,3,Open,2,1993/07/21,2003/08/12,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-119.26175000,34.44199000,Ventura,111,238,Rural,06111000901,9.01,061110009011013,19,37,24,3,MID,10,0,0,1,1,0,0,0,0
-119.72513759057396,34.430085153971895,7457,306424045,CPN0545,39245,5548,3192,3917,37493,PREMIER SURGERY CENTER OF SANTA BARBARA,Premier Surgery Ctr,2420 Fletcher Ave,,Santa Barbara,CA,93105,,,,3,Closed,1,2009/12/31,2003/08/12,Clinic,1,Surgical Clinic,20,,,0.00000000,,,0,0,,100,-119.72515000,34.43009000,Santa Barbara,083,181b,Urban,06083000300,3,060830003002003,19,35,23,3,MID,10,0,0,1,1,0,0,0,0
